Time,P,P2
0,0,0
1,3.86250446736244,1.93125223368122
2,4.8151940036245,2.40759700181225
3,5.26608969152289,2.63304484576145
4,5.48948466701417,2.74474233350708
5,5.59278295368853,2.79639147684426
6,5.6285725517126,2.8142862758563
7,5.62969264869447,2.81484632434724
8,5.64769527211089,2.82384763605544
9,5.83667015625652,2.91833507812826
10,6.52003184026817,3.26001592013409
11,8.00451753919577,4.00225876959788
12,10.2468682609657,5.12343413048283
13,12.873652802697,6.43682640134851
14,15.4242669578986,7.7121334789493
15,17.518316664537,8.75915833226851
16,18.9308626576201,9.46543132881007
17,19.6053788001332,9.80268940006658
18,19.6228806481661,9.81144032408306
19,19.1483627961145,9.57418139805725
20,18.374785192258,9.18739259612902
21,17.4783840647972,8.7391920323986
22,16.5921106236088,8.29605531180439
23,15.7988018671357,7.89940093356785
24,15.1411041015065,7.57055205075326
25,14.6403118047299,7.32015590236494
26,14.3132361707696,7.15661808538481
27,14.1779879296609,7.08899396483046
28,14.2465000231212,7.12325001156062
29,14.5105087104243,7.25525435521214
30,14.9325273419496,7.46626367097478
31,15.4493094650835,7.72465473254173
32,15.9857915499708,7.99289577498539
33,16.4716210385176,8.2358105192588
34,16.8535904058155,8.42679520290773
35,17.1015390637191,8.55076953185957
36,17.2083959107467,8.60419795537334
37,17.186227641746,8.59311382087301
38,17.0602545175946,8.53012725879732
39,16.8624951633584,8.43124758167921
40,16.6262655684742,8.31313278423712
41,16.3822330740512,8.19111653702561
42,16.1561564292457,8.07807821462285
43,15.9679484966195,7.98397424830976
44,15.8314431283757,7.91572156418784
45,15.7543278181298,7.87716390906489
46,15.738047905457,7.86902395272848
47,15.7778705735323,7.88893528676615
48,15.8634734162274,7.9317367081137
49,15.9802960680636,7.99014803403179
50,16.1115740592116,8.05578702960581
